station,valid,high,low,rh_min,rh,rh_max,gdd50,solar_mj,precip,speed
CRFI4,2020-04-10,55.21999999999989,27.15799999999994,32.29,58.3691668510437,85.5,2.6,22.14432,0.0,8.032313
CRFI4,2020-04-11,68.88199999999995,39.57619999999994,37.07,65.7616662979126,94.1,9.4,11.128319,0.0,8.031761
CRFI4,2020-04-12,69.15199999999992,34.37239999999991,67.77,89.35416666666667,98.7,9.6,13.305601000000001,0.33999997,12.940976
CRFI4,2020-04-13,44.374999999999936,26.356999999999953,40.86,67.84125010172527,90.0,0.0,21.82464,0.0,18.189266
CRFI4,2020-04-14,44.736799999999974,22.9279999999999,34.29,60.58875036239624,89.7,0.0,20.6496,0.0,10.731325
CRFI4,2020-04-15,40.74079999999993,17.74219999999995,59.31,83.3933334350586,99.2,0.0,21.7728,0.120000005,7.810259
CRFI4,2020-04-16,43.86559999999991,24.421999999999972,39.07,72.13999923070271,100.0,0.0,12.8304,0.25,4.0299873
CRFI4,2020-04-17,46.007599999999904,32.07919999999991,74.07,90.64541657765706,100.0,0.0,17.953919999999997,0.13,8.124523
CRFI4,2020-04-18,61.69999999999993,31.605799999999945,48.74,71.7945834795634,92.5,5.9,24.805441,0.0,13.414386
CRFI4,2020-04-19,64.48999999999995,38.15959999999998,27.11,54.0641667842865,87.7,7.2,24.03648,0.0,8.5353775
CRFI4,2020-04-20,68.19799999999996,34.06459999999992,33.89,57.700833320617676,82.5,9.1,14.67936,0.0,9.8328905
CRFI4,2020-04-21,60.69199999999993,35.06359999999993,31.05,49.99458328882853,73.9,5.3,25.565759999999997,0.0,11.029539
CRFI4,2020-04-22,79.77199999999998,41.39419999999993,29.1,54.75375032424927,78.98,14.9,17.68608,0.0,10.5250635
CRFI4,2020-04-23,74.96599999999994,48.55999999999992,50.03,80.10458294550578,100.0,12.5,20.183041,0.0,6.767441
CRFI4,2020-04-24,57.73999999999995,48.95599999999996,86.9,94.38750076293945,100.0,3.9,10.281600000000001,0.09,9.312899
CRFI4,2020-04-25,61.933999999999926,40.357399999999885,58.28,82.96916659673055,97.4,6.0,14.04,0.11,9.709357
CRFI4,2020-04-26,71.99599999999998,32.69839999999989,27.87,64.72958366076152,100.0,11.0,25.0992,0.0,4.061162
CRFI4,2020-04-27,77.39599999999999,47.51599999999994,49.29,63.941666762034096,78.31,13.7,15.102720999999999,0.010000001,12.211734
CRFI4,2020-04-28,76.6939999999999,50.64799999999996,60.39,74.06000047571519,91.8,13.7,13.806719999999999,0.0,12.100728
CRFI4,2020-04-29,57.82999999999998,46.90399999999989,72.17,83.59499994913737,93.0,3.9,3.1121280000000002,0.14,16.143372
CRFI4,2020-04-30,73.00399999999989,42.902599999999964,24.76,54.50791668891907,85.4,11.5,26.84448,0.0,11.673434
CRFI4,2020-05-01,76.74799999999996,41.70199999999991,31.12,51.911666790644325,75.4,13.4,17.55648,0.0,9.082776
CRFI4,2020-05-02,78.20599999999996,53.1859999999999,33.9,61.99583371480306,85.5,15.7,15.35328,0.010000001,7.7110243
CRFI4,2020-05-03,77.84599999999999,53.31199999999989,22.48,54.62041680018107,87.9,15.6,18.161279999999998,0.0,5.2741847
CRFI4,2020-05-04,60.9439999999999,46.065199999999976,47.91,62.635000228881836,96.4,5.5,10.30752,0.120000005,11.620139
CRFI4,2020-05-05,47.49799999999996,41.03239999999989,95.0,98.47083346048991,100.0,0.0,3.4248960000000004,0.28,7.2923307
CRFI4,2020-05-06,65.02999999999997,37.90399999999989,42.57,77.03521728515625,100.0,7.5,21.625919999999997,0.0,8.71663
CRFI4,2020-05-07,68.3779999999999,43.97359999999991,35.6,63.361666997273765,92.3,9.2,20.16576,0.0,9.032476
CRFI4,2020-05-08,56.53399999999993,35.13919999999999,27.15,50.207916816075645,89.2,3.3,27.406080000000003,0.0,13.021454
CRFI4,2020-05-09,67.1359999999999,27.597199999999887,27.71,48.51624997456869,86.0,8.6,26.965441,0.020000001,7.8821106
CRFI4,2020-05-10,55.70599999999996,42.23119999999998,49.9,75.83666674296062,96.0,2.9,10.480319999999999,0.030000001,16.413477
CRFI4,2020-05-11,57.1279999999999,36.156199999999984,37.43,56.15875005722046,80.0,3.6,15.301440000000001,0.0,9.276354
CRFI4,2020-05-12,65.01199999999989,35.14819999999998,28.28,53.99521719891092,85.3,7.5,20.05344,0.0,3.989341
CRFI4,2020-05-13,60.295999999999985,41.975599999999886,62.17,76.37208398183186,97.8,5.1,10.860479999999999,0.0,12.769436
CRFI4,2020-05-14,76.94599999999998,54.04999999999993,74.24,93.42874972025554,100.0,15.5,12.16512,1.86,8.5412245
CRFI4,2020-05-15,73.70599999999996,56.209999999999916,47.38,76.84791771570842,100.0,15.0,23.62176,0.07,6.390255
CRFI4,2020-05-16,75.28999999999995,51.727999999999895,73.12,86.35375054677327,96.5,13.5,16.562879000000002,0.010000001,8.030797
CRFI4,2020-05-17,67.45999999999991,56.353999999999886,70.56,91.76333332061768,100.0,11.9,12.1392,0.26999998,9.572687
CRFI4,2020-05-18,60.295999999999985,52.86199999999989,88.5,96.51666673024495,100.0,6.6,8.60544,0.14999999,11.912845
CRFI4,2020-05-19,60.07999999999998,52.41199999999989,90.0,96.01666609446208,99.8,6.2,8.64,0.0,12.579789
CRFI4,2020-05-20,64.25599999999996,56.73199999999995,85.4,93.87083339691162,100.0,10.5,7.56,0.0,9.750473
CRFI4,2020-05-21,64.25599999999996,54.75199999999991,80.4,90.6458330154419,98.7,9.5,9.79776,0.010000001,7.298161
CRFI4,2020-05-22,74.11999999999989,56.64199999999993,65.8,84.83333333333333,98.6,15.4,12.40704,0.0,6.8113723
CRFI4,2020-05-23,77.75599999999996,60.25999999999991,65.7,80.49958419799805,92.5,19.0,18.714238,0.0,11.320737
CRFI4,2020-05-24,86.64799999999995,58.063999999999965,59.92,81.60208304723103,99.3,22.0,18.239041,0.020000001,6.2025847
CRFI4,2020-05-25,88.91599999999994,64.66999999999989,51.88,79.66708405812581,97.3,25.3,21.13344,0.05,7.7555256
CRFI4,2020-05-26,88.1779999999999,65.73199999999996,56.37,83.2362494468689,99.1,25.9,21.53088,0.25,10.272677
CRFI4,2020-05-27,79.91599999999994,68.80999999999992,77.67,90.27374935150146,96.1,24.4,12.916799999999999,0.040000003,6.590233
CRFI4,2020-05-28,73.00399999999989,62.149999999999935,91.3,97.84166685740153,100.0,17.6,5.234112,1.0699999,6.212563
CRFI4,2020-05-29,69.27799999999989,53.005999999999965,56.39,75.82708342870076,100.0,11.1,25.358400000000003,0.0,9.79387
CRFI4,2020-05-30,75.93799999999997,49.38799999999998,38.98,67.87166659037273,98.0,13.0,28.49472,0.0,5.255694
CRFI4,2020-05-31,78.29599999999998,50.755999999999965,35.58,58.83375024795532,89.4,14.5,26.663041,0.0,4.331849
CRFI4,2020-06-01,83.42599999999992,63.985999999999905,55.43,65.75958363215129,79.87,23.7,18.204479,0.0,12.111706
CRFI4,2020-06-02,92.24599999999998,67.31599999999995,50.37,67.30541721979777,81.8,26.7,25.51392,0.0,12.052988
CRFI4,2020-06-03,87.6019999999999,69.47599999999993,65.18,82.27041689554851,96.8,27.7,16.36416,0.120000005,5.7759743
CRFI4,2020-06-04,92.73199999999996,67.40599999999996,44.04,74.95541683832805,96.6,26.7,24.14016,0.0,5.4025373
CRFI4,2020-06-05,90.7699999999999,65.1019999999999,53.57,77.18291648228963,98.0,25.6,19.1376,0.22,6.1006346
CRFI4,2020-06-06,84.07399999999994,64.8859999999999,44.05,71.75923068706805,88.7,24.5,26.84448,0.0,6.9651294
CRFI4,2020-06-07,,,,,,,28.045441,0.0,9.5989895
CRFI4,2020-06-08,94.00999999999992,67.38799999999998,25.19,33.85666720072428,40.77,26.7,28.4256,0.0,8.983532
CRFI4,2020-06-09,78.25999999999992,68.68399999999993,51.26,84.8168171969327,100.0,23.5,4.110048,2.22,9.010111
CRFI4,2020-06-10,73.92199999999997,60.45799999999994,62.82,84.62583351135254,100.0,17.2,18.67968,0.020000001,11.50218
CRFI4,2020-06-11,82.30999999999992,55.56199999999989,42.08,66.17333285013835,93.9,18.9,28.93536,0.0,8.31591
CRFI4,2020-06-12,87.00799999999994,56.80399999999989,31.17,59.510833422342934,94.3,21.4,29.15136,0.0,2.8393166
CRFI4,2020-06-13,78.36799999999992,57.379999999999974,41.73,61.20208326975504,91.7,17.9,27.29376,0.0,9.275941
CRFI4,2020-06-14,79.69999999999993,56.821999999999974,40.81,58.91458400090536,78.25,18.3,27.25056,0.0,9.771008
CRFI4,2020-06-15,82.72399999999995,58.42399999999995,30.82,51.32999960581461,71.82,20.6,26.73216,0.0,7.9803534
CRFI4,2020-06-16,84.82999999999997,58.78399999999993,36.33,53.19291639328003,76.89,21.8,29.27232,0.0,6.24805
CRFI4,2020-06-17,86.7199999999999,58.98199999999995,39.34,63.019166469573975,89.1,22.5,28.58112,0.0,6.2255507
CRFI4,2020-06-18,88.55599999999997,61.57399999999995,45.33,64.81625016530354,87.7,23.8,26.542080000000002,0.0,5.7478228
CRFI4,2020-06-19,81.28399999999992,67.89199999999992,69.97,87.18416690826416,100.0,24.6,9.10656,0.43,4.0844
